state,date,R,Máximo,Mínimo
PIU,2020-04-01,3.0,6.99,1.01
PIU,2020-04-02,2.77,5.83,1.01
PIU,2020-04-03,2.37,4.88,0.89
PIU,2020-04-04,2.32,4.65,0.83
PIU,2020-04-05,2.49,4.88,0.98
PIU,2020-04-06,2.61,4.85,1.04
PIU,2020-04-07,2.86,4.98,1.23
PIU,2020-04-08,3.13,5.04,1.48
PIU,2020-04-09,3.16,4.85,1.66
PIU,2020-04-10,3.05,4.52,1.71
PIU,2020-04-11,3.33,4.62,2.11
PIU,2020-04-12,3.1,4.19,2.03
PIU,2020-04-13,2.84,3.78,1.89
PIU,2020-04-14,2.52,3.4,1.71
PIU,2020-04-15,2.34,3.14,1.6
PIU,2020-04-16,2.26,3.0,1.58
PIU,2020-04-17,2.18,2.84,1.53
PIU,2020-04-18,2.04,2.67,1.45
PIU,2020-04-19,1.99,2.6,1.45
PIU,2020-04-20,1.88,2.44,1.36
PIU,2020-04-21,1.74,2.25,1.23
PIU,2020-04-22,1.67,2.17,1.19
PIU,2020-04-23,1.69,2.16,1.22
PIU,2020-04-24,1.72,2.21,1.3
PIU,2020-04-25,1.78,2.2,1.34
PIU,2020-04-26,1.81,2.23,1.41
PIU,2020-04-27,1.84,2.24,1.46
PIU,2020-04-28,1.88,2.27,1.53
PIU,2020-04-29,1.85,2.22,1.52
PIU,2020-04-30,1.8,2.15,1.49
PIU,2020-05-01,1.76,2.09,1.46
PIU,2020-05-02,1.65,1.97,1.37
PIU,2020-05-03,1.56,1.87,1.29
PIU,2020-05-04,1.54,1.84,1.28
PIU,2020-05-05,1.5,1.79,1.25
PIU,2020-05-06,1.5,1.77,1.25
PIU,2020-05-07,1.46,1.74,1.23
PIU,2020-05-08,1.40,1.65,1.16
PIU,2020-05-09,1.34,1.59,1.11
PIU,2020-05-10,1.28,1.52,1.05
PIU,2020-05-11,1.25,1.51,1.04
PIU,2020-05-12,1.28,1.52,1.06
PIU,2020-05-13,1.31,1.54,1.09
PIU,2020-05-14,1.36,1.59,1.15
PIU,2020-05-15,1.39,1.61,1.18
PIU,2020-05-16,1.39,1.61,1.19
PIU,2020-05-17,1.38,1.59,1.18
PIU,2020-05-18,1.33,1.54,1.14
PIU,2020-05-19,1.28,1.47,1.08
PIU,2020-05-20,1.22,1.43,1.04
PIU,2020-05-21,1.18,1.36,0.98
PIU,2020-05-22,1.16,1.36,0.98
PIU,2020-05-23,1.17,1.37,0.99
PIU,2020-05-24,1.19,1.37,1.0
PIU,2020-05-25,1.21,1.40,1.03
PIU,2020-05-26,1.22,1.42,1.05
PIU,2020-05-27,1.27,1.45,1.09
PIU,2020-05-28,1.29,1.46,1.11
PIU,2020-05-29,1.34,1.53,1.18
PIU,2020-05-30,1.36,1.54,1.2
PIU,2020-05-31,1.36,1.53,1.2
PIU,2020-06-01,1.34,1.52,1.19
PIU,2020-06-02,1.33,1.5,1.18
PIU,2020-06-03,1.28,1.43,1.12
PIU,2020-06-04,1.25,1.41,1.1
PIU,2020-06-05,1.19,1.36,1.05
PIU,2020-06-06,1.15,1.31,1.01
PIU,2020-06-07,1.13,1.28,0.98
PIU,2020-06-08,1.13,1.29,0.99
PIU,2020-06-09,1.14,1.3,1.0
PIU,2020-06-10,1.18,1.34,1.04
PIU,2020-06-11,1.19,1.34,1.05
PIU,2020-06-12,1.19,1.34,1.05
PIU,2020-06-13,1.16,1.32,1.03
PIU,2020-06-14,1.13,1.26,0.98
PIU,2020-06-15,1.09,1.22,0.94
PIU,2020-06-16,1.06,1.2,0.92
PIU,2020-06-17,1.05,1.18,0.9
PIU,2020-06-18,1.05,1.19,0.91
PIU,2020-06-19,1.05,1.19,0.91
PIU,2020-06-20,1.06,1.2,0.92
PIU,2020-06-21,1.06,1.2,0.92
PIU,2020-06-22,1.06,1.2,0.92
PIU,2020-06-23,1.06,1.2,0.92
PIU,2020-06-24,1.05,1.19,0.91
PIU,2020-06-25,1.04,1.18,0.9
PIU,2020-06-26,1.03,1.17,0.89
PIU,2020-06-27,1.01,1.16,0.88
PIU,2020-06-28,1.0,1.14,0.86
PIU,2020-06-29,1.01,1.14,0.86
PIU,2020-06-30,1.01,1.15,0.87
PIU,2020-07-01,1.02,1.18,0.89
PIU,2020-07-02,1.02,1.18,0.89
PIU,2020-07-03,1.02,1.17,0.88
PIU,2020-07-04,1.01,1.17,0.88
PIU,2020-07-05,1.01,1.17,0.88
PIU,2020-07-06,1.01,1.16,0.87
PIU,2020-07-07,1.01,1.17,0.88
PIU,2020-07-08,1.01,1.17,0.88
PIU,2020-07-09,1.01,1.17,0.88
PIU,2020-07-10,1.01,1.16,0.87
PIU,2020-07-11,1.01,1.16,0.87
PIU,2020-07-12,1.01,1.16,0.87
PIU,2020-07-13,1.01,1.16,0.87
PIU,2020-07-14,1.01,1.16,0.87
PIU,2020-07-15,1.01,1.15,0.86
PIU,2020-07-16,1.0,1.15,0.86
PIU,2020-07-17,0.99,1.14,0.85
PIU,2020-07-18,0.99,1.13,0.84
PIU,2020-07-19,0.98,1.12,0.83
PIU,2020-07-20,0.98,1.14,0.84
PIU,2020-07-21,0.97,1.13,0.83
PIU,2020-07-22,0.96,1.12,0.82
PIU,2020-07-23,0.95,1.11,0.81
PIU,2020-07-24,0.95,1.11,0.81
PIU,2020-07-28,0.95,1.1,0.8
PIU,2020-07-29,0.95,1.1,0.8
PIU,2020-07-30,0.95,1.12,0.81
PIU,2020-08-01,0.95,1.12,0.81
PIU,2020-08-02,0.95,1.12,0.81
PIU,2020-08-04,0.95,1.11,0.8
PIU,2020-08-05,0.95,1.11,0.8
PIU,2020-08-06,0.95,1.11,0.8
PIU,2020-08-07,0.96,1.11,0.8
PIU,2020-08-08,0.97,1.14,0.82
PIU,2020-08-09,0.99,1.16,0.84
PIU,2020-08-10,1.02,1.19,0.87
PIU,2020-08-11,1.04,1.21,0.89
PIU,2020-08-12,1.07,1.24,0.92
PIU,2020-08-13,1.08,1.23,0.92
PIU,2020-08-14,1.09,1.24,0.93
PIU,2020-08-15,1.09,1.25,0.94
PIU,2020-08-16,1.1,1.27,0.96
PIU,2020-08-17,1.11,1.28,0.97
PIU,2020-08-18,1.12,1.29,0.98
PIU,2020-08-19,1.12,1.28,0.98
