state,date,R,Máximo,Mínimo
HUC,2020-04-08,3.0,6.99,1.01
HUC,2020-04-09,2.87,6.25,0.99
HUC,2020-04-10,2.77,5.83,1.01
HUC,2020-04-11,2.69,5.48,0.98
HUC,2020-04-12,3.23,6.13,1.29
HUC,2020-04-13,3.5,6.03,1.51
HUC,2020-04-14,3.23,5.35,1.48
HUC,2020-04-15,3.18,5.04,1.57
HUC,2020-04-16,3.06,4.7,1.61
HUC,2020-04-17,2.69,4.14,1.43
HUC,2020-04-18,2.54,3.81,1.34
HUC,2020-04-19,2.34,3.56,1.29
HUC,2020-04-20,2.19,3.32,1.21
HUC,2020-04-21,2.02,3.07,1.1
HUC,2020-04-22,1.99,3.0,1.11
HUC,2020-04-23,1.96,2.92,1.11
HUC,2020-04-24,1.93,2.86,1.12
HUC,2020-04-25,1.86,2.74,1.08
HUC,2020-04-26,1.69,2.52,0.95
HUC,2020-04-27,1.63,2.43,0.91
HUC,2020-04-28,1.57,2.36,0.88
HUC,2020-04-29,1.58,2.37,0.91
HUC,2020-04-30,1.64,2.4,0.96
HUC,2020-05-01,1.69,2.46,1.04
HUC,2020-05-02,1.65,2.38,1.01
HUC,2020-05-03,1.57,2.25,0.93
HUC,2020-05-04,1.52,2.21,0.92
HUC,2020-05-05,1.52,2.16,0.9
HUC,2020-05-06,1.52,2.18,0.94
HUC,2020-05-07,1.54,2.19,0.97
HUC,2020-05-08,1.52,2.15,0.96
HUC,2020-05-09,1.44,2.06,0.9
HUC,2020-05-10,1.39,1.98,0.85
HUC,2020-05-11,1.35,1.93,0.82
HUC,2020-05-12,1.42,2.01,0.9
HUC,2020-05-13,1.49,2.07,0.97
HUC,2020-05-14,1.58,2.15,1.07
HUC,2020-05-15,1.57,2.13,1.08
HUC,2020-05-16,1.51,2.06,1.04
HUC,2020-05-17,1.42,1.95,0.96
HUC,2020-05-18,1.39,1.91,0.94
HUC,2020-05-19,1.40,1.90,0.95
HUC,2020-05-20,1.46,1.96,1.02
HUC,2020-05-21,1.52,2.02,1.1
HUC,2020-05-22,1.53,1.99,1.1
HUC,2020-05-23,1.5,1.93,1.07
HUC,2020-05-24,1.43,1.87,1.03
HUC,2020-05-25,1.35,1.78,0.96
HUC,2020-05-26,1.29,1.72,0.91
HUC,2020-05-27,1.29,1.72,0.92
HUC,2020-05-28,1.3,1.73,0.94
HUC,2020-05-29,1.36,1.74,0.97
HUC,2020-05-30,1.39,1.78,1.02
HUC,2020-05-31,1.40,1.76,1.02
HUC,2020-06-01,1.36,1.74,1.01
HUC,2020-06-02,1.31,1.7,0.98
HUC,2020-06-03,1.23,1.59,0.89
HUC,2020-06-04,1.2,1.58,0.88
HUC,2020-06-05,1.19,1.55,0.86
HUC,2020-06-06,1.19,1.56,0.87
HUC,2020-06-07,1.2,1.55,0.87
HUC,2020-06-08,1.21,1.55,0.88
HUC,2020-06-09,1.22,1.57,0.9
HUC,2020-06-10,1.23,1.57,0.91
HUC,2020-06-11,1.23,1.56,0.91
HUC,2020-06-12,1.22,1.57,0.92
HUC,2020-06-13,1.21,1.54,0.9
HUC,2020-06-14,1.17,1.49,0.86
HUC,2020-06-15,1.15,1.48,0.85
HUC,2020-06-16,1.14,1.48,0.85
HUC,2020-06-17,1.12,1.44,0.82
HUC,2020-06-18,1.14,1.46,0.84
HUC,2020-06-19,1.16,1.49,0.87
HUC,2020-06-20,1.18,1.48,0.87
HUC,2020-06-21,1.19,1.51,0.9
HUC,2020-06-22,1.19,1.49,0.89
HUC,2020-06-23,1.18,1.5,0.9
HUC,2020-06-24,1.17,1.46,0.87
HUC,2020-06-25,1.16,1.46,0.87
HUC,2020-06-26,1.14,1.46,0.87
HUC,2020-06-27,1.15,1.44,0.86
HUC,2020-06-28,1.14,1.45,0.87
HUC,2020-06-29,1.14,1.45,0.87
HUC,2020-06-30,1.14,1.43,0.86
HUC,2020-07-01,1.14,1.44,0.87
HUC,2020-07-02,1.14,1.45,0.88
HUC,2020-07-03,1.15,1.44,0.88
HUC,2020-07-04,1.16,1.46,0.9
HUC,2020-07-05,1.17,1.45,0.9
HUC,2020-07-06,1.18,1.46,0.91
HUC,2020-07-07,1.17,1.47,0.92
HUC,2020-07-08,1.18,1.46,0.92
HUC,2020-07-09,1.19,1.48,0.94
HUC,2020-07-10,1.2,1.48,0.95
HUC,2020-07-11,1.21,1.46,0.94
