state,date,R,Máximo,Mínimo
ANC,2020-04-01,3.0,6.99,1.01
ANC,2020-04-02,2.77,5.83,1.01
ANC,2020-04-03,2.61,5.25,0.99
ANC,2020-04-04,2.73,5.15,1.04
ANC,2020-04-05,2.77,5.01,1.16
ANC,2020-04-06,2.94,4.99,1.33
ANC,2020-04-07,2.95,4.78,1.44
ANC,2020-04-08,2.88,4.51,1.5
ANC,2020-04-09,2.66,4.09,1.41
ANC,2020-04-10,2.49,3.78,1.35
ANC,2020-04-11,2.36,3.5,1.27
ANC,2020-04-12,2.25,3.33,1.26
ANC,2020-04-13,2.16,3.2,1.26
ANC,2020-04-14,2.08,3.04,1.22
ANC,2020-04-15,2.06,2.95,1.23
ANC,2020-04-16,2.09,2.96,1.32
ANC,2020-04-17,2.04,2.84,1.3
ANC,2020-04-18,2.04,2.82,1.36
ANC,2020-04-19,2.01,2.71,1.34
ANC,2020-04-20,1.92,2.58,1.29
ANC,2020-04-21,1.81,2.43,1.21
ANC,2020-04-22,1.76,2.37,1.2
ANC,2020-04-23,1.73,2.32,1.2
ANC,2020-04-24,1.75,2.29,1.22
ANC,2020-04-25,1.75,2.29,1.26
ANC,2020-04-26,1.74,2.23,1.25
ANC,2020-04-27,1.7,2.18,1.24
ANC,2020-04-28,1.71,2.16,1.26
ANC,2020-04-29,1.7,2.16,1.29
ANC,2020-04-30,1.74,2.18,1.35
ANC,2020-05-01,1.73,2.13,1.34
ANC,2020-05-02,1.71,2.11,1.35
ANC,2020-05-03,1.67,2.03,1.31
ANC,2020-05-04,1.61,1.95,1.26
ANC,2020-05-05,1.56,1.91,1.24
ANC,2020-05-06,1.52,1.86,1.21
ANC,2020-05-07,1.46,1.79,1.16
ANC,2020-05-08,1.40,1.71,1.1
ANC,2020-05-09,1.32,1.63,1.03
ANC,2020-05-10,1.26,1.57,0.98
ANC,2020-05-11,1.25,1.55,0.97
ANC,2020-05-12,1.26,1.55,0.98
ANC,2020-05-13,1.32,1.61,1.05
ANC,2020-05-14,1.39,1.67,1.12
ANC,2020-05-15,1.47,1.75,1.21
ANC,2020-05-16,1.48,1.75,1.23
