state,date,R,Máximo,Mínimo
ICA,2020-04-01,3.0,6.99,1.01
ICA,2020-04-02,2.87,6.25,0.99
ICA,2020-04-03,3.13,6.36,1.12
ICA,2020-04-04,2.9,5.63,1.09
ICA,2020-04-05,3.0,5.51,1.18
ICA,2020-04-06,3.01,5.32,1.31
ICA,2020-04-07,2.94,4.99,1.33
ICA,2020-04-08,2.67,4.49,1.23
ICA,2020-04-09,2.62,4.31,1.26
ICA,2020-04-10,2.44,3.95,1.16
ICA,2020-04-11,2.4,3.83,1.19
ICA,2020-04-12,2.44,3.79,1.27
ICA,2020-04-13,2.44,3.68,1.31
ICA,2020-04-14,2.33,3.52,1.31
ICA,2020-04-15,2.24,3.32,1.26
ICA,2020-04-16,2.11,3.14,1.21
ICA,2020-04-17,1.96,2.92,1.11
ICA,2020-04-18,1.93,2.86,1.12
ICA,2020-04-19,1.93,2.81,1.14
ICA,2020-04-20,2.04,2.86,1.25
ICA,2020-04-21,2.03,2.82,1.29
ICA,2020-04-22,1.95,2.72,1.27
ICA,2020-04-23,1.81,2.53,1.16
ICA,2020-04-24,1.77,2.44,1.13
ICA,2020-04-25,1.67,2.34,1.08
ICA,2020-04-26,1.71,2.35,1.13
ICA,2020-04-27,1.87,2.48,1.3
ICA,2020-04-28,1.97,2.54,1.42
ICA,2020-04-29,1.97,2.52,1.46
ICA,2020-04-30,1.94,2.47,1.47
ICA,2020-05-01,1.8,2.27,1.33
ICA,2020-05-02,1.65,2.11,1.21
ICA,2020-05-03,1.5,1.96,1.09
ICA,2020-05-04,1.46,1.87,1.03
ICA,2020-05-05,1.46,1.87,1.05
ICA,2020-05-06,1.5,1.90,1.1
ICA,2020-05-07,1.52,1.92,1.14
ICA,2020-05-08,1.51,1.91,1.15
ICA,2020-05-09,1.5,1.90,1.16
ICA,2020-05-10,1.5,1.85,1.14
ICA,2020-05-11,1.46,1.81,1.12
ICA,2020-05-12,1.52,1.86,1.19
ICA,2020-05-13,1.57,1.90,1.25
ICA,2020-05-14,1.59,1.93,1.3
ICA,2020-05-15,1.61,1.91,1.31
ICA,2020-05-16,1.56,1.86,1.28
ICA,2020-05-17,1.51,1.79,1.23
ICA,2020-05-18,1.45,1.74,1.19
ICA,2020-05-19,1.39,1.66,1.13
ICA,2020-05-20,1.36,1.63,1.11
ICA,2020-05-21,1.36,1.62,1.11
ICA,2020-05-22,1.36,1.62,1.12
ICA,2020-05-23,1.35,1.61,1.12
ICA,2020-05-24,1.34,1.59,1.11
ICA,2020-05-25,1.32,1.57,1.1
ICA,2020-05-26,1.33,1.57,1.11
ICA,2020-05-27,1.35,1.58,1.13
ICA,2020-05-28,1.35,1.57,1.13
ICA,2020-05-29,1.37,1.59,1.16
