state,date,R,Máximo,Mínimo
JUN,2020-04-01,3.0,6.99,1.01
JUN,2020-04-02,2.87,6.25,0.99
JUN,2020-04-03,3.13,6.36,1.12
JUN,2020-04-04,2.9,5.63,1.09
JUN,2020-04-05,3.0,5.51,1.18
JUN,2020-04-06,2.77,5.01,1.16
JUN,2020-04-07,3.01,5.09,1.33
JUN,2020-04-08,2.72,4.58,1.25
JUN,2020-04-09,2.66,4.38,1.28
JUN,2020-04-10,2.47,4.02,1.19
JUN,2020-04-11,2.32,3.76,1.13
JUN,2020-04-12,2.12,3.48,1.04
JUN,2020-04-13,2.05,3.32,0.99
JUN,2020-04-14,1.99,3.21,0.97
JUN,2020-04-15,2.15,3.35,1.11
JUN,2020-04-16,2.32,3.47,1.28
JUN,2020-04-17,2.35,3.43,1.36
JUN,2020-04-18,2.29,3.29,1.36
JUN,2020-04-19,2.22,3.18,1.37
JUN,2020-04-20,2.04,2.92,1.24
JUN,2020-04-21,1.91,2.72,1.14
JUN,2020-04-22,1.84,2.63,1.12
JUN,2020-04-23,1.8,2.56,1.11
JUN,2020-04-24,1.77,2.52,1.12
JUN,2020-04-25,1.79,2.5,1.15
JUN,2020-04-26,1.78,2.47,1.17
JUN,2020-04-27,1.78,2.44,1.19
JUN,2020-04-28,1.78,2.41,1.21
JUN,2020-04-29,1.72,2.33,1.18
JUN,2020-04-30,1.7,2.26,1.16
JUN,2020-05-01,1.66,2.21,1.15
JUN,2020-05-02,1.63,2.15,1.13
JUN,2020-05-03,1.63,2.14,1.15
JUN,2020-05-04,1.61,2.12,1.16
JUN,2020-05-05,1.57,2.03,1.11
JUN,2020-05-06,1.57,2.05,1.15
JUN,2020-05-07,1.53,1.99,1.12
JUN,2020-05-08,1.52,1.95,1.11
JUN,2020-05-09,1.47,1.90,1.08
JUN,2020-05-10,1.43,1.86,1.06
JUN,2020-05-11,1.41,1.82,1.04
JUN,2020-05-12,1.39,1.78,1.02
JUN,2020-05-13,1.38,1.78,1.03
JUN,2020-05-14,1.39,1.77,1.04
JUN,2020-05-15,1.39,1.74,1.03
JUN,2020-05-16,1.37,1.74,1.04
JUN,2020-05-17,1.35,1.69,1.01
JUN,2020-05-18,1.33,1.68,1.01
JUN,2020-05-19,1.32,1.66,1.0
JUN,2020-05-20,1.32,1.66,1.01
JUN,2020-05-21,1.32,1.66,1.02
JUN,2020-05-22,1.31,1.64,1.01
JUN,2020-05-23,1.3,1.63,1.01
JUN,2020-05-24,1.28,1.61,1.0
JUN,2020-05-25,1.28,1.6,1.0
JUN,2020-05-26,1.3,1.61,1.02
JUN,2020-05-27,1.32,1.63,1.05
JUN,2020-05-28,1.32,1.62,1.05
JUN,2020-05-29,1.3,1.6,1.04
JUN,2020-05-30,1.27,1.57,1.02
JUN,2020-05-31,1.25,1.53,0.99
JUN,2020-06-01,1.23,1.5,0.97
JUN,2020-06-02,1.21,1.5,0.97
JUN,2020-06-03,1.2,1.47,0.95
JUN,2020-06-04,1.19,1.47,0.95
JUN,2020-06-05,1.16,1.42,0.91
JUN,2020-06-06,1.14,1.42,0.91
JUN,2020-06-07,1.13,1.38,0.88
