state,date,R,Máximo,Mínimo
AYA,2020-04-04,3.0,6.99,1.01
AYA,2020-04-05,2.87,6.25,0.99
AYA,2020-04-06,2.77,5.83,1.01
AYA,2020-04-07,2.69,5.48,0.98
AYA,2020-04-08,2.61,5.25,0.99
AYA,2020-04-09,2.81,5.42,1.11
AYA,2020-04-10,2.67,5.0,1.05
AYA,2020-04-11,2.55,4.73,1.04
AYA,2020-04-12,2.46,4.47,0.99
AYA,2020-04-13,2.38,4.33,1.01
AYA,2020-04-14,2.47,4.34,1.06
AYA,2020-04-15,2.37,4.12,1.03
AYA,2020-04-16,2.28,3.96,1.02
AYA,2020-04-17,2.21,3.80,0.99
AYA,2020-04-18,2.14,3.67,0.97
AYA,2020-04-19,2.09,3.53,0.93
AYA,2020-04-20,2.04,3.46,0.94
AYA,2020-04-21,1.91,3.28,0.88
AYA,2020-04-22,1.89,3.19,0.84
AYA,2020-04-23,1.86,3.14,0.83
AYA,2020-04-24,1.92,3.23,0.91
AYA,2020-04-25,2.05,3.31,0.98
AYA,2020-04-26,2.06,3.29,1.02
AYA,2020-04-27,2.13,3.30,1.08
AYA,2020-04-28,2.11,3.25,1.12
AYA,2020-04-29,2.08,3.12,1.09
AYA,2020-04-30,2.09,3.15,1.19
AYA,2020-05-01,2.0,2.98,1.13
AYA,2020-05-02,2.0,2.95,1.17
AYA,2020-05-03,1.96,2.82,1.13
AYA,2020-05-04,1.91,2.77,1.15
AYA,2020-05-05,1.84,2.63,1.09
AYA,2020-05-06,1.75,2.54,1.06
AYA,2020-05-07,1.73,2.49,1.06
AYA,2020-05-08,1.68,2.41,1.03
AYA,2020-05-09,1.64,2.32,0.99
AYA,2020-05-10,1.61,2.31,1.01
AYA,2020-05-11,1.58,2.24,0.98
AYA,2020-05-12,1.51,2.14,0.92
AYA,2020-05-13,1.49,2.13,0.93
AYA,2020-05-14,1.45,2.07,0.9
AYA,2020-05-15,1.42,2.03,0.88
AYA,2020-05-16,1.37,1.94,0.82
AYA,2020-05-17,1.35,1.94,0.83
AYA,2020-05-18,1.34,1.93,0.83
AYA,2020-05-19,1.35,1.93,0.84
AYA,2020-05-20,1.37,1.94,0.86
AYA,2020-05-21,1.38,1.95,0.88
AYA,2020-05-22,1.39,1.94,0.89
AYA,2020-05-23,1.38,1.94,0.9
AYA,2020-05-24,1.38,1.92,0.9
AYA,2020-05-25,1.39,1.93,0.92
AYA,2020-05-26,1.36,1.89,0.9
AYA,2020-05-27,1.32,1.83,0.86
AYA,2020-05-28,1.34,1.84,0.88
AYA,2020-05-29,1.33,1.83,0.88
AYA,2020-05-30,1.38,1.88,0.94
AYA,2020-05-31,1.40,1.87,0.95
AYA,2020-06-01,1.41,1.89,0.98
AYA,2020-06-02,1.39,1.86,0.97
AYA,2020-06-03,1.36,1.81,0.94
AYA,2020-06-04,1.29,1.71,0.86
AYA,2020-06-05,1.28,1.7,0.86
AYA,2020-06-06,1.25,1.67,0.84
AYA,2020-06-07,1.26,1.7,0.87
AYA,2020-06-08,1.25,1.69,0.87
AYA,2020-06-09,1.24,1.66,0.85
AYA,2020-06-10,1.22,1.64,0.84
AYA,2020-06-11,1.21,1.61,0.82
AYA,2020-06-12,1.18,1.6,0.81
AYA,2020-06-13,1.18,1.58,0.8
AYA,2020-06-14,1.2,1.61,0.83
AYA,2020-06-15,1.22,1.6,0.83
AYA,2020-06-16,1.23,1.63,0.86
AYA,2020-06-17,1.25,1.64,0.88
AYA,2020-06-18,1.25,1.62,0.87
AYA,2020-06-19,1.26,1.66,0.91
AYA,2020-06-20,1.26,1.65,0.91
AYA,2020-06-21,1.24,1.63,0.9
AYA,2020-06-22,1.23,1.61,0.89
AYA,2020-06-23,1.21,1.57,0.86
AYA,2020-06-24,1.18,1.55,0.84
AYA,2020-06-25,1.17,1.53,0.83
AYA,2020-06-26,1.16,1.53,0.83
AYA,2020-06-27,1.16,1.5,0.81
AYA,2020-06-28,1.17,1.53,0.84
AYA,2020-06-29,1.18,1.54,0.85
AYA,2020-06-30,1.17,1.52,0.84
AYA,2020-07-01,1.19,1.55,0.87
AYA,2020-07-02,1.2,1.54,0.87
AYA,2020-07-03,1.19,1.55,0.88
AYA,2020-07-04,1.19,1.53,0.87
AYA,2020-07-05,1.19,1.54,0.88
AYA,2020-07-06,1.19,1.53,0.88
AYA,2020-07-07,1.22,1.57,0.92
AYA,2020-07-08,1.24,1.58,0.94
AYA,2020-07-09,1.27,1.6,0.97
AYA,2020-07-10,1.29,1.61,0.99
AYA,2020-07-11,1.28,1.59,0.98
AYA,2020-07-12,1.26,1.57,0.97
AYA,2020-07-13,1.26,1.55,0.96
AYA,2020-07-14,1.25,1.57,0.98
AYA,2020-07-15,1.27,1.58,1.0
AYA,2020-07-16,1.28,1.58,1.01
AYA,2020-07-17,1.35,1.64,1.08
AYA,2020-07-18,1.38,1.68,1.13
AYA,2020-07-19,1.41,1.68,1.15
AYA,2020-07-20,1.42,1.69,1.17
AYA,2020-07-21,1.39,1.66,1.15
AYA,2020-07-22,1.38,1.62,1.13
AYA,2020-07-23,1.37,1.61,1.13
AYA,2020-07-24,1.36,1.59,1.12
AYA,2020-07-28,1.41,1.64,1.18
AYA,2020-07-29,1.41,1.65,1.2
AYA,2020-07-30,1.40,1.63,1.19
AYA,2020-08-01,1.37,1.6,1.17
AYA,2020-08-02,1.33,1.55,1.13
AYA,2020-08-03,1.32,1.53,1.12
AYA,2020-08-04,1.33,1.53,1.13
AYA,2020-08-05,1.33,1.53,1.14
AYA,2020-08-06,1.35,1.56,1.17
AYA,2020-08-07,1.35,1.55,1.17
AYA,2020-08-08,1.32,1.51,1.14
AYA,2020-08-09,1.27,1.45,1.09
AYA,2020-08-10,1.25,1.44,1.08
AYA,2020-08-11,1.24,1.41,1.06
AYA,2020-08-12,1.24,1.43,1.08
AYA,2020-08-13,1.26,1.43,1.09
AYA,2020-08-14,1.27,1.45,1.11
AYA,2020-08-15,1.27,1.44,1.11
AYA,2020-08-16,1.26,1.43,1.1
AYA,2020-08-17,1.23,1.39,1.07
AYA,2020-08-18,1.22,1.39,1.07
AYA,2020-08-19,1.21,1.38,1.06
AYA,2020-08-20,1.22,1.38,1.07
AYA,2020-08-21,1.24,1.40,1.09
AYA,2020-08-22,1.26,1.41,1.11
AYA,2020-08-23,1.26,1.42,1.12
AYA,2020-08-24,1.26,1.40,1.11
AYA,2020-08-25,1.24,1.39,1.1
AYA,2020-08-26,1.21,1.37,1.08
AYA,2020-08-27,1.17,1.31,1.03
AYA,2020-08-28,1.15,1.29,1.01
AYA,2020-08-29,1.12,1.27,0.99
AYA,2020-08-30,1.11,1.26,0.98
AYA,2020-08-31,1.11,1.26,0.98
AYA,2020-09-01,1.11,1.26,0.98
AYA,2020-09-03,1.11,1.27,0.99
AYA,2020-09-04,1.11,1.24,0.97
AYA,2020-09-05,1.1,1.23,0.96
AYA,2020-09-06,1.09,1.23,0.96
AYA,2020-09-07,1.08,1.22,0.95
AYA,2020-09-08,1.08,1.22,0.95
AYA,2020-09-09,1.09,1.23,0.96
AYA,2020-09-10,1.09,1.23,0.96
AYA,2020-09-11,1.08,1.22,0.95
AYA,2020-09-12,1.07,1.21,0.94
AYA,2020-09-13,1.05,1.19,0.92
AYA,2020-09-14,1.04,1.18,0.91
AYA,2020-09-15,1.03,1.17,0.9
AYA,2020-09-16,1.03,1.17,0.9
AYA,2020-09-17,1.04,1.18,0.91
AYA,2020-09-18,1.04,1.18,0.91
AYA,2020-09-19,1.04,1.18,0.91
AYA,2020-09-20,1.03,1.17,0.9
AYA,2020-09-22,1.03,1.18,0.91
AYA,2020-09-23,1.04,1.18,0.91
AYA,2020-09-24,1.04,1.18,0.91
AYA,2020-09-26,1.03,1.18,0.91
AYA,2020-09-27,1.03,1.17,0.9
AYA,2020-09-28,1.02,1.16,0.89
AYA,2020-09-29,1.0,1.14,0.87
AYA,2020-10-02,0.99,1.13,0.86
AYA,2020-10-04,0.98,1.12,0.85
AYA,2020-10-05,0.97,1.11,0.84
AYA,2020-10-06,0.97,1.1,0.83
AYA,2020-10-07,0.96,1.11,0.83
AYA,2020-10-08,0.96,1.11,0.83
AYA,2020-10-09,0.96,1.11,0.83
AYA,2020-10-10,0.97,1.12,0.84
AYA,2020-10-11,0.98,1.12,0.84
AYA,2020-10-12,0.99,1.13,0.85
AYA,2020-10-13,0.99,1.13,0.85
AYA,2020-10-14,1.0,1.14,0.86
AYA,2020-10-15,1.0,1.14,0.86
