state,date,R,Máximo,Mínimo
AYA,2020-04-04,3.0,6.99,1.01
AYA,2020-04-05,2.87,6.25,0.99
AYA,2020-04-06,2.77,5.83,1.01
AYA,2020-04-07,2.69,5.48,0.98
AYA,2020-04-08,2.61,5.25,0.99
AYA,2020-04-09,2.81,5.42,1.11
AYA,2020-04-10,2.67,5.0,1.05
AYA,2020-04-11,2.55,4.73,1.04
AYA,2020-04-12,2.46,4.47,0.99
AYA,2020-04-13,2.38,4.33,1.01
AYA,2020-04-14,2.47,4.34,1.06
AYA,2020-04-15,2.37,4.12,1.03
AYA,2020-04-16,2.28,3.96,1.02
AYA,2020-04-17,2.21,3.80,0.99
AYA,2020-04-18,2.14,3.67,0.97
AYA,2020-04-19,2.09,3.53,0.93
AYA,2020-04-20,2.04,3.46,0.94
AYA,2020-04-21,1.91,3.28,0.88
AYA,2020-04-22,1.89,3.19,0.84
AYA,2020-04-23,1.86,3.14,0.83
AYA,2020-04-24,1.92,3.23,0.91
AYA,2020-04-25,2.05,3.31,0.98
AYA,2020-04-26,2.06,3.29,1.02
AYA,2020-04-27,2.13,3.30,1.08
AYA,2020-04-28,2.11,3.25,1.12
AYA,2020-04-29,2.08,3.12,1.09
AYA,2020-04-30,2.09,3.15,1.19
AYA,2020-05-01,2.0,2.98,1.13
AYA,2020-05-02,2.0,2.95,1.17
AYA,2020-05-03,1.96,2.82,1.13
AYA,2020-05-04,1.91,2.77,1.15
AYA,2020-05-05,1.84,2.63,1.09
AYA,2020-05-06,1.75,2.54,1.06
AYA,2020-05-07,1.73,2.49,1.06
AYA,2020-05-08,1.68,2.41,1.03
AYA,2020-05-09,1.64,2.32,0.99
AYA,2020-05-10,1.61,2.31,1.01
AYA,2020-05-11,1.58,2.24,0.98
AYA,2020-05-12,1.51,2.14,0.92
AYA,2020-05-13,1.49,2.13,0.93
AYA,2020-05-14,1.45,2.07,0.9
AYA,2020-05-15,1.42,2.03,0.88
AYA,2020-05-16,1.37,1.94,0.82
AYA,2020-05-17,1.35,1.94,0.83
AYA,2020-05-18,1.34,1.93,0.83
AYA,2020-05-19,1.35,1.93,0.84
AYA,2020-05-20,1.37,1.94,0.86
AYA,2020-05-21,1.38,1.95,0.88
AYA,2020-05-22,1.38,1.93,0.88
AYA,2020-05-23,1.34,1.87,0.84
AYA,2020-05-24,1.32,1.86,0.84
