state,date,R,Máximo,Mínimo
LAL,2020-04-01,3.0,6.99,1.01
LAL,2020-04-02,2.21,4.31,0.85
LAL,2020-04-03,1.90,3.6,0.75
LAL,2020-04-04,1.71,3.22,0.69
LAL,2020-04-05,1.76,3.16,0.70
LAL,2020-04-06,1.78,3.15,0.77
LAL,2020-04-07,1.88,3.18,0.85
LAL,2020-04-08,1.86,3.1,0.89
LAL,2020-04-09,1.78,2.94,0.87
LAL,2020-04-10,1.66,2.74,0.81
LAL,2020-04-11,1.71,2.76,0.87
LAL,2020-04-12,1.7,2.67,0.86
LAL,2020-04-13,1.78,2.74,0.97
LAL,2020-04-14,1.79,2.68,0.99
LAL,2020-04-15,1.72,2.57,0.97
LAL,2020-04-16,1.63,2.45,0.93
LAL,2020-04-17,1.55,2.33,0.88
LAL,2020-04-18,1.57,2.32,0.91
LAL,2020-04-19,1.61,2.32,0.95
LAL,2020-04-20,1.74,2.44,1.1
LAL,2020-04-21,1.8,2.46,1.18
LAL,2020-04-22,1.82,2.47,1.25
LAL,2020-04-23,1.79,2.38,1.23
LAL,2020-04-24,1.75,2.30,1.21
LAL,2020-04-25,1.68,2.22,1.18
LAL,2020-04-26,1.61,2.11,1.12
LAL,2020-04-27,1.52,2.01,1.06
LAL,2020-04-28,1.51,1.99,1.07
LAL,2020-04-29,1.5,1.96,1.07
LAL,2020-04-30,1.55,1.98,1.12
LAL,2020-05-01,1.58,2.0,1.17
LAL,2020-05-02,1.62,2.04,1.24
LAL,2020-05-03,1.63,2.03,1.26
LAL,2020-05-04,1.61,2.0,1.26
LAL,2020-05-05,1.57,1.94,1.23
LAL,2020-05-06,1.53,1.88,1.2
LAL,2020-05-07,1.49,1.83,1.17
LAL,2020-05-08,1.44,1.77,1.13
LAL,2020-05-09,1.40,1.71,1.09
LAL,2020-05-10,1.36,1.68,1.07
LAL,2020-05-11,1.33,1.62,1.03
LAL,2020-05-12,1.32,1.61,1.03
LAL,2020-05-13,1.34,1.64,1.07
LAL,2020-05-14,1.39,1.69,1.13
LAL,2020-05-15,1.41,1.69,1.15
LAL,2020-05-16,1.41,1.69,1.16
LAL,2020-05-17,1.39,1.64,1.13
LAL,2020-05-18,1.35,1.61,1.11
LAL,2020-05-19,1.32,1.58,1.09
LAL,2020-05-20,1.31,1.56,1.08
LAL,2020-05-21,1.32,1.56,1.09
LAL,2020-05-22,1.31,1.54,1.08
LAL,2020-05-23,1.34,1.57,1.12
LAL,2020-05-24,1.33,1.55,1.11
LAL,2020-05-25,1.36,1.57,1.14
LAL,2020-05-26,1.34,1.55,1.13
LAL,2020-05-27,1.32,1.54,1.12
LAL,2020-05-28,1.37,1.59,1.18
LAL,2020-05-29,1.42,1.61,1.22
LAL,2020-05-30,1.45,1.64,1.26
LAL,2020-05-31,1.47,1.66,1.29
LAL,2020-06-01,1.44,1.63,1.27
LAL,2020-06-02,1.40,1.58,1.23
LAL,2020-06-03,1.32,1.49,1.15
LAL,2020-06-04,1.24,1.42,1.08
LAL,2020-06-05,1.2,1.36,1.03
LAL,2020-06-06,1.16,1.33,1.0
LAL,2020-06-07,1.14,1.32,0.99
LAL,2020-06-08,1.12,1.3,0.97
LAL,2020-06-09,1.12,1.28,0.96
LAL,2020-06-10,1.14,1.3,0.98
LAL,2020-06-11,1.15,1.31,0.99
LAL,2020-06-12,1.15,1.32,1.0
LAL,2020-06-13,1.14,1.31,0.99
LAL,2020-06-14,1.13,1.28,0.97
LAL,2020-06-15,1.12,1.28,0.97
LAL,2020-06-16,1.11,1.27,0.96
LAL,2020-06-17,1.11,1.27,0.96
LAL,2020-06-18,1.1,1.27,0.96
LAL,2020-06-19,1.1,1.27,0.96
LAL,2020-06-20,1.1,1.25,0.95
LAL,2020-06-21,1.1,1.25,0.95
LAL,2020-06-22,1.09,1.24,0.94
LAL,2020-06-23,1.08,1.24,0.94
LAL,2020-06-24,1.08,1.23,0.93
LAL,2020-06-25,1.07,1.23,0.93
LAL,2020-06-26,1.06,1.22,0.92
LAL,2020-06-27,1.06,1.21,0.91
LAL,2020-06-28,1.05,1.21,0.91
LAL,2020-06-29,1.06,1.22,0.92
LAL,2020-06-30,1.07,1.23,0.93
LAL,2020-07-01,1.08,1.24,0.94
LAL,2020-07-02,1.09,1.25,0.95
LAL,2020-07-03,1.09,1.23,0.94
LAL,2020-07-04,1.09,1.23,0.94
LAL,2020-07-05,1.09,1.24,0.95
LAL,2020-07-06,1.09,1.24,0.95
LAL,2020-07-07,1.09,1.24,0.95
LAL,2020-07-08,1.09,1.24,0.95
LAL,2020-07-09,1.08,1.23,0.94
LAL,2020-07-10,1.08,1.23,0.94
LAL,2020-07-11,1.07,1.23,0.94
LAL,2020-07-12,1.07,1.23,0.94
