state,date,R,Máximo,Mínimo
TAC,2020-04-14,3.0,6.99,1.01
TAC,2020-04-15,3.29,7.03,1.19
TAC,2020-04-16,3.82,7.09,1.53
TAC,2020-04-17,3.5,6.03,1.51
TAC,2020-04-18,3.01,5.09,1.33
TAC,2020-04-19,2.72,4.59,1.26
TAC,2020-04-20,2.52,4.19,1.16
TAC,2020-04-21,2.37,3.89,1.08
TAC,2020-04-22,2.26,3.68,1.04
TAC,2020-04-23,2.16,3.56,1.05
TAC,2020-04-24,2.17,3.51,1.08
TAC,2020-04-25,2.01,3.28,1.0
TAC,2020-04-26,2.03,3.23,1.01
TAC,2020-04-27,2.03,3.21,1.05
TAC,2020-04-28,2.09,3.2,1.1
TAC,2020-04-29,2.11,3.21,1.18
TAC,2020-04-30,2.07,3.1,1.17
TAC,2020-05-01,1.93,2.91,1.09
TAC,2020-05-02,1.82,2.74,1.01
TAC,2020-05-03,1.69,2.57,0.92
TAC,2020-05-04,1.63,2.49,0.89
TAC,2020-05-05,1.57,2.42,0.86
TAC,2020-05-06,1.55,2.37,0.84
TAC,2020-05-07,1.54,2.36,0.85
TAC,2020-05-08,1.49,2.30,0.82
TAC,2020-05-09,1.45,2.23,0.78
TAC,2020-05-10,1.41,2.19,0.76
TAC,2020-05-11,1.41,2.18,0.76
TAC,2020-05-12,1.40,2.17,0.76
TAC,2020-05-13,1.40,2.15,0.75
TAC,2020-05-14,1.45,2.22,0.81
TAC,2020-05-15,1.47,2.22,0.82
TAC,2020-05-16,1.48,2.24,0.85
TAC,2020-05-17,1.47,2.21,0.84
TAC,2020-05-18,1.46,2.19,0.84
TAC,2020-05-19,1.42,2.11,0.79
TAC,2020-05-20,1.44,2.12,0.81
TAC,2020-05-21,1.43,2.13,0.83
TAC,2020-05-22,1.46,2.15,0.86
TAC,2020-05-23,1.51,2.19,0.91
TAC,2020-05-24,1.54,2.2,0.94
TAC,2020-05-25,1.56,2.22,0.98
TAC,2020-05-26,1.53,2.14,0.94
TAC,2020-05-27,1.47,2.08,0.91
TAC,2020-05-28,1.47,2.07,0.92
TAC,2020-05-29,1.47,2.06,0.93
TAC,2020-05-30,1.45,2.04,0.93
TAC,2020-05-31,1.45,2.03,0.94
TAC,2020-06-01,1.43,2.0,0.93
TAC,2020-06-02,1.42,1.98,0.93
TAC,2020-06-03,1.39,1.94,0.91
TAC,2020-06-04,1.36,1.90,0.89
TAC,2020-06-05,1.35,1.85,0.86
TAC,2020-06-06,1.32,1.84,0.86
TAC,2020-06-07,1.28,1.81,0.84
TAC,2020-06-08,1.28,1.79,0.83
TAC,2020-06-09,1.28,1.79,0.84
TAC,2020-06-10,1.31,1.8,0.86
TAC,2020-06-11,1.33,1.81,0.88
TAC,2020-06-12,1.32,1.81,0.89
TAC,2020-06-13,1.3,1.79,0.88
TAC,2020-06-14,1.34,1.82,0.92
TAC,2020-06-15,1.37,1.81,0.93
TAC,2020-06-16,1.39,1.85,0.98
