state,date,R,Máximo,Mínimo
LOR,2020-04-01,3.0,6.99,1.01
LOR,2020-04-02,2.93,5.13,1.26
LOR,2020-04-03,2.91,4.63,1.47
LOR,2020-04-04,2.88,4.28,1.62
LOR,2020-04-05,2.96,4.14,1.86
LOR,2020-04-06,2.78,3.75,1.81
LOR,2020-04-07,2.49,3.34,1.65
LOR,2020-04-08,2.12,2.9,1.39
LOR,2020-04-09,1.75,2.45,1.08
LOR,2020-04-10,1.5,2.18,0.9
LOR,2020-04-11,1.34,1.97,0.76
LOR,2020-04-12,1.29,1.92,0.74
LOR,2020-04-13,1.34,1.95,0.78
LOR,2020-04-14,1.40,2.01,0.85
LOR,2020-04-15,1.46,2.06,0.92
LOR,2020-04-16,1.54,2.11,1.0
LOR,2020-04-17,1.58,2.15,1.07
LOR,2020-04-18,1.59,2.14,1.1
LOR,2020-04-19,1.57,2.1,1.1
LOR,2020-04-20,1.54,2.05,1.09
LOR,2020-04-21,1.47,1.94,1.02
LOR,2020-04-22,1.40,1.85,0.96
LOR,2020-04-23,1.36,1.82,0.95
LOR,2020-04-24,1.34,1.79,0.94
LOR,2020-04-25,1.35,1.78,0.95
LOR,2020-04-26,1.41,1.82,1.01
LOR,2020-04-27,1.54,1.95,1.16
LOR,2020-04-28,1.69,2.09,1.33
LOR,2020-04-29,1.77,2.13,1.41
LOR,2020-04-30,1.76,2.1,1.42
LOR,2020-05-01,1.66,1.99,1.34
LOR,2020-05-02,1.53,1.86,1.23
LOR,2020-05-03,1.38,1.7,1.09
LOR,2020-05-04,1.28,1.58,0.99
LOR,2020-05-05,1.24,1.53,0.95
LOR,2020-05-06,1.23,1.51,0.94
LOR,2020-05-07,1.21,1.52,0.95
LOR,2020-05-08,1.21,1.51,0.95
LOR,2020-05-09,1.21,1.49,0.94
LOR,2020-05-10,1.23,1.5,0.96
LOR,2020-05-11,1.24,1.53,0.99
LOR,2020-05-12,1.29,1.57,1.04
LOR,2020-05-13,1.31,1.58,1.06
LOR,2020-05-14,1.3,1.57,1.06
LOR,2020-05-15,1.26,1.53,1.03
LOR,2020-05-16,1.23,1.48,0.99
LOR,2020-05-17,1.21,1.45,0.97
LOR,2020-05-18,1.23,1.48,1.0
LOR,2020-05-19,1.26,1.51,1.04
LOR,2020-05-20,1.32,1.56,1.1
LOR,2020-05-21,1.40,1.64,1.19
LOR,2020-05-22,1.43,1.66,1.22
LOR,2020-05-23,1.40,1.63,1.2
LOR,2020-05-24,1.42,1.62,1.21
LOR,2020-05-25,1.52,1.72,1.32
LOR,2020-05-26,1.6,1.81,1.42
LOR,2020-05-27,1.63,1.82,1.45
LOR,2020-05-28,1.6,1.77,1.42
LOR,2020-05-29,1.57,1.75,1.41
LOR,2020-05-30,1.47,1.64,1.31
LOR,2020-05-31,1.36,1.52,1.2
LOR,2020-06-01,1.25,1.42,1.1
LOR,2020-06-02,1.24,1.39,1.08
LOR,2020-06-03,1.23,1.40,1.09
LOR,2020-06-04,1.24,1.38,1.08
LOR,2020-06-05,1.25,1.40,1.1
LOR,2020-06-06,1.27,1.43,1.13
LOR,2020-06-07,1.27,1.42,1.13
LOR,2020-06-08,1.28,1.44,1.15
LOR,2020-06-09,1.3,1.44,1.16
LOR,2020-06-10,1.36,1.51,1.23
LOR,2020-06-11,1.41,1.55,1.28
LOR,2020-06-12,1.40,1.54,1.28
LOR,2020-06-13,1.36,1.5,1.24
LOR,2020-06-14,1.28,1.40,1.15
LOR,2020-06-15,1.2,1.33,1.08
LOR,2020-06-16,1.14,1.27,1.02
LOR,2020-06-17,1.11,1.24,0.99
LOR,2020-06-18,1.1,1.24,0.99
LOR,2020-06-19,1.1,1.22,0.98
LOR,2020-06-20,1.1,1.21,0.97
LOR,2020-06-21,1.09,1.2,0.96
LOR,2020-06-22,1.07,1.19,0.95
LOR,2020-06-23,1.06,1.18,0.94
LOR,2020-06-24,1.06,1.18,0.94
LOR,2020-06-25,1.06,1.18,0.94
LOR,2020-06-26,1.05,1.17,0.93
LOR,2020-06-27,1.05,1.17,0.93
LOR,2020-06-28,1.05,1.17,0.93
LOR,2020-06-29,1.05,1.17,0.93
LOR,2020-06-30,1.05,1.17,0.93
LOR,2020-07-01,1.05,1.18,0.94
LOR,2020-07-02,1.05,1.17,0.93
LOR,2020-07-03,1.05,1.17,0.93
LOR,2020-07-04,1.03,1.15,0.91
LOR,2020-07-05,1.01,1.13,0.89
LOR,2020-07-06,1.0,1.12,0.88
LOR,2020-07-07,1.0,1.11,0.87
LOR,2020-07-08,1.0,1.11,0.87
LOR,2020-07-09,1.0,1.14,0.89
LOR,2020-07-10,1.01,1.15,0.9
LOR,2020-07-11,1.02,1.16,0.91
LOR,2020-07-12,1.02,1.16,0.91
LOR,2020-07-13,1.01,1.15,0.9
LOR,2020-07-14,1.0,1.14,0.89
LOR,2020-07-15,0.99,1.12,0.87
LOR,2020-07-16,0.98,1.11,0.86
LOR,2020-07-17,0.98,1.11,0.86
LOR,2020-07-18,0.99,1.12,0.87
LOR,2020-07-19,1.0,1.12,0.87
LOR,2020-07-20,1.01,1.13,0.88
