state,date,R,Máximo,Mínimo
HUV,2020-04-05,3.0,6.99,1.01
HUV,2020-04-06,2.87,6.25,0.99
HUV,2020-04-07,2.77,5.83,1.01
HUV,2020-04-08,2.69,5.48,0.98
HUV,2020-04-09,2.61,5.25,0.99
HUV,2020-04-10,2.55,5.02,0.96
HUV,2020-04-11,2.49,4.87,0.97
HUV,2020-04-12,2.44,4.73,0.97
HUV,2020-04-13,2.4,4.60,0.96
HUV,2020-04-14,2.35,4.48,0.95
HUV,2020-04-15,2.32,4.35,0.92
HUV,2020-04-16,2.46,4.47,0.99
HUV,2020-04-17,2.38,4.33,1.01
HUV,2020-04-18,2.31,4.17,0.99
HUV,2020-04-19,2.25,4.04,0.98
HUV,2020-04-20,2.2,3.89,0.94
HUV,2020-04-21,2.03,3.65,0.87
HUV,2020-04-22,2.13,3.76,0.94
HUV,2020-04-23,2.21,3.80,0.99
HUV,2020-04-24,2.37,3.95,1.13
HUV,2020-04-25,2.36,3.83,1.14
HUV,2020-04-26,2.43,3.82,1.23
HUV,2020-04-27,2.45,3.73,1.28
HUV,2020-04-28,2.43,3.64,1.34
HUV,2020-04-29,2.38,3.52,1.37
HUV,2020-04-30,2.49,3.54,1.52
HUV,2020-05-01,2.42,3.38,1.52
HUV,2020-05-02,2.30,3.21,1.49
HUV,2020-05-03,2.1,2.93,1.34
HUV,2020-05-04,1.83,2.61,1.13
HUV,2020-05-05,1.61,2.36,0.96
HUV,2020-05-06,1.45,2.17,0.83
HUV,2020-05-07,1.35,2.05,0.75
HUV,2020-05-08,1.37,2.07,0.77
HUV,2020-05-09,1.38,2.05,0.76
HUV,2020-05-10,1.40,2.1,0.81
HUV,2020-05-11,1.39,2.05,0.78
HUV,2020-05-12,1.39,2.05,0.79
HUV,2020-05-13,1.36,2.04,0.79
HUV,2020-05-14,1.35,2.03,0.79
HUV,2020-05-15,1.33,1.97,0.75
HUV,2020-05-16,1.3,1.95,0.74
HUV,2020-05-17,1.34,1.97,0.76
HUV,2020-05-18,1.43,2.07,0.85
HUV,2020-05-19,1.54,2.19,0.97
HUV,2020-05-20,1.67,2.30,1.1
HUV,2020-05-21,1.7,2.30,1.14
HUV,2020-05-22,1.67,2.25,1.13
HUV,2020-05-23,1.59,2.16,1.08
HUV,2020-05-24,1.51,2.04,1.0
HUV,2020-05-25,1.47,2.02,1.0
HUV,2020-05-26,1.44,1.95,0.96
HUV,2020-05-27,1.42,1.92,0.95
HUV,2020-05-28,1.42,1.90,0.95
HUV,2020-05-29,1.39,1.85,0.92
HUV,2020-05-30,1.33,1.82,0.9
HUV,2020-05-31,1.3,1.76,0.86
HUV,2020-06-01,1.28,1.75,0.86
HUV,2020-06-02,1.35,1.79,0.91
HUV,2020-06-03,1.40,1.85,0.98
HUV,2020-06-04,1.42,1.88,1.02
HUV,2020-06-05,1.44,1.88,1.04
HUV,2020-06-06,1.39,1.83,1.01
HUV,2020-06-07,1.32,1.73,0.93
HUV,2020-06-08,1.24,1.66,0.87
HUV,2020-06-09,1.18,1.59,0.81
HUV,2020-06-10,1.17,1.56,0.79
HUV,2020-06-11,1.15,1.56,0.79
HUV,2020-06-12,1.14,1.55,0.78
HUV,2020-06-13,1.13,1.52,0.76
HUV,2020-06-14,1.16,1.55,0.79
HUV,2020-06-15,1.19,1.59,0.83
HUV,2020-06-16,1.22,1.63,0.87
HUV,2020-06-17,1.22,1.62,0.87
HUV,2020-06-18,1.2,1.58,0.84
HUV,2020-06-19,1.18,1.57,0.83
HUV,2020-06-20,1.15,1.53,0.8
HUV,2020-06-21,1.12,1.51,0.78
HUV,2020-06-22,1.13,1.52,0.79
HUV,2020-06-23,1.13,1.49,0.77
HUV,2020-06-24,1.14,1.51,0.79
HUV,2020-06-25,1.16,1.53,0.81
HUV,2020-06-26,1.16,1.54,0.82
HUV,2020-06-27,1.16,1.52,0.81
HUV,2020-06-28,1.16,1.53,0.82
HUV,2020-06-29,1.16,1.54,0.83
HUV,2020-06-30,1.16,1.52,0.82
HUV,2020-07-01,1.2,1.56,0.86
HUV,2020-07-02,1.24,1.58,0.89
HUV,2020-07-03,1.27,1.64,0.95
HUV,2020-07-04,1.28,1.65,0.97
HUV,2020-07-05,1.27,1.63,0.96
HUV,2020-07-06,1.24,1.59,0.93
HUV,2020-07-07,1.22,1.55,0.9
HUV,2020-07-08,1.21,1.53,0.89
HUV,2020-07-09,1.22,1.56,0.92
HUV,2020-07-10,1.24,1.57,0.94
HUV,2020-07-11,1.24,1.56,0.94
HUV,2020-07-12,1.25,1.59,0.97
HUV,2020-07-13,1.24,1.57,0.96
HUV,2020-07-14,1.24,1.55,0.95
HUV,2020-07-15,1.24,1.54,0.95
HUV,2020-07-16,1.25,1.53,0.95
HUV,2020-07-17,1.31,1.62,1.04
HUV,2020-07-18,1.37,1.65,1.09
HUV,2020-07-19,1.44,1.72,1.17
HUV,2020-07-20,1.51,1.77,1.24
